"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"1,""0.000000"",""192.168.43.122"",""172.217.194.190"",""UDP"",""865"",""61829  >  443 Len=823"""
"2,""0.076999"",""172.217.194.190"",""192.168.43.122"",""UDP"",""72"",""443  >  61829 Len=30"""
"3,""0.088401"",""192.168.43.122"",""172.217.194.190"",""UDP"",""75"",""61829  >  443 Len=33"""
"4,""0.094859"",""172.217.194.190"",""192.168.43.122"",""UDP"",""122"",""443  >  61829 Len=80"""
"5,""0.094859"",""172.217.194.190"",""192.168.43.122"",""UDP"",""68"",""443  >  61829 Len=26"""
"6,""0.095342"",""192.168.43.122"",""172.217.194.190"",""UDP"",""79"",""61829  >  443 Len=37"""
"7,""0.097408"",""192.168.43.122"",""142.251.12.94"",""UDP"",""616"",""64624  >  443 Len=574"""
"8,""0.118726"",""192.168.43.122"",""172.217.194.190"",""UDP"",""75"",""61829  >  443 Len=33"""
"9,""0.146089"",""142.251.12.94"",""192.168.43.122"",""UDP"",""69"",""443  >  64624 Len=27"""
"10,""0.146283"",""142.251.12.94"",""192.168.43.122"",""UDP"",""105"",""443  >  64624 Len=63"""
"11,""0.146283"",""142.251.12.94"",""192.168.43.122"",""UDP"",""67"",""443  >  64624 Len=25"""
"12,""0.146618"",""192.168.43.122"",""142.251.12.94"",""UDP"",""77"",""64624  >  443 Len=35"""
"13,""0.157399"",""172.217.194.190"",""192.168.43.122"",""UDP"",""68"",""443  >  61829 Len=26"""
"14,""0.177992"",""192.168.43.122"",""142.251.12.94"",""UDP"",""75"",""64624  >  443 Len=33"""
"15,""0.226828"",""142.251.12.94"",""192.168.43.122"",""UDP"",""67"",""443  >  64624 Len=25"""
"16,""0.296752"",""114.125.224.204"",""192.168.43.122"",""TCP"",""54"",""443  >  57801 [FIN, ACK] Seq=1 Ack=1 Win=1195 Len=0"""
